NO3;LCO;expression
0;+;106,32
0;+;83,01
0;+;94,23
0;-;3,98
0;-;4,12
0;-;2,47
0,25;+;101,23
0,25;+;162,90
0,25;+;142,34
0,25;-;1,94
0,25;-;2,52
0,25;-;1,67
0,5;+;220,67
0,5;+;144,98
0,5;+;157,98
0,5;-;2,34
0,5;-;3,23
0,5;-;2,81
1;+;154,19
1;+;169,98
1;+;138,71
1;-;1,58
1;-;3,47
1;-;2,09
2;+;111,81
2;+;64,83
2;+;112,52
2;-;1,61
2;-;1,29
2;-;1,23
4;+;93,51
4;+;67,19
4;+;83,11
4;-;2,54
4;-;3,63
4;-;3,03
8;+;73,47
8;+;105,46
8;+;90,56
8;-;1,95
8;-;0,56
8;-;0,62
16;+;56,02
16;+;95,91
16;+;48,67
16;-;2,62
16;-;4,45
16;-;4,29